#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 03 12 03 50  55  3.8  6.0  4.55 12.90 10.01 289 1027.7   8.3   9.1 999.0 99.0 99.00
2008 03 12 04 50  57  4.3  6.2  4.31 13.79  9.99 288 1026.9   8.3   9.1 999.0 99.0 99.00
2008 03 12 05 50  42  4.3  5.9  4.37 13.79  9.79 289 1026.7   8.2   9.1 999.0 99.0 99.00
2008 03 12 06 50  44  6.1  7.3  4.02 12.12  9.41 278 1025.4   8.3   9.0 999.0 99.0 99.00
2008 03 12 07 50  39  5.8  7.1  4.52 12.90  9.56 287 1025.0   8.2   9.0 999.0 99.0 99.00
2008 03 12 08 50  54  4.6  6.2  3.74 12.90  9.27 293 1024.1   8.1   9.0 999.0 99.0 99.00
2008 03 12 09 50  45  3.4  4.7  3.30 13.79  8.77 305 1023.7   8.0   9.0 999.0 99.0 99.00
2008 03 12 10 50  86  3.8  5.2  3.26 12.90  8.81 299 1022.9   8.0   9.0 999.0 99.0 99.00
2008 03 12 11 50  78  2.6  4.4  3.87 13.79  9.53 305 1022.7   7.9   9.0 999.0 99.0 99.00
2008 03 12 12 50  94  2.6  4.0  3.99 12.90  9.73 307 1022.3   7.9   9.0 999.0 99.0 99.00
2008 03 12 13 50 118  1.1  2.3  3.32 13.79  8.79 313 1022.0   8.0   9.0 999.0 99.0 99.00
2008 03 12 14 50  84  3.4  5.0  3.47 12.90  9.16 303 1021.3   8.0   9.0 999.0 99.0 99.00
2008 03 12 15 50 140  3.0  4.7  3.33 12.12  9.06 301 1021.4   8.4   9.0 999.0 99.0 99.00
2008 03 12 16 50 165  5.8  8.2  3.33 12.90  9.31 306 1021.4   8.5   9.0 999.0 99.0 99.00
2008 03 12 17 50 164  5.6  6.9  2.45 12.12  8.03 312 1021.2   8.3   9.0 999.0 99.0 99.00
2008 03 12 18 50 171  5.8  7.4  2.80 12.12  8.33 308 1020.6   8.5   9.0 999.0 99.0 99.00
2008 03 12 19 50 203  5.9  7.0  3.02 11.43  8.64 308 1021.3   8.6   9.0 999.0 99.0 99.00
2008 03 12 20 50 206  4.9  6.0  2.82 11.43  8.56 306 1021.2   8.5   9.1 999.0 99.0 99.00
2008 03 12 21 50 200  3.6  4.8  2.41 10.81  8.14 299 1020.4   8.3   9.0 999.0 99.0 99.00
2008 03 12 22 50 177  5.1  6.7  2.60 10.81  8.37 302 1019.4   8.4   9.1 999.0 99.0 99.00
2008 03 12 23 50 165  6.0  8.0  2.75 11.43  8.38 311 1018.7   7.6   9.0 999.0 99.0 99.00
2008 03 13 00 50 167  4.9  6.4  2.57 10.81  8.15 316 1017.4   7.2   9.0 999.0 99.0 99.00
2008 03 13 01 50 148  4.7  6.0  2.44 11.43  8.14 316 1016.4   7.5   9.0 999.0 99.0 99.00
2008 03 13 02 50 172  5.6  7.1  2.31 10.81  7.69 318 1015.2   8.3   9.0 999.0 99.0 99.00
2008 03 13 03 50 178  9.2 11.1  2.01 11.43  7.05 318 1014.3   8.9   9.0 999.0 99.0 99.00
2008 03 13 04 50 181  9.9 11.5  2.09 10.81  6.06 323 1013.0   9.1   9.0 999.0 99.0 99.00
2008 03 13 05 50 205  9.7 11.8  2.31 10.81  5.76 319 1013.1   9.2   9.0 999.0 99.0 99.00
2008 03 13 06 50 209  9.9 11.9  2.32 10.81  5.66 310 1012.9   9.1   9.0 999.0 99.0 99.00
2008 03 13 07 50 212 10.0 11.7  2.65  6.25  5.90 206 1012.2   8.9   9.0 999.0 99.0 99.00
2008 03 13 08 50 218  9.8 99.0 99.00 99.00 99.00 999 1011.4   8.8 999.0 999.0 99.0 99.00
2008 03 13 09 50 223 11.3 13.5 99.00 99.00 99.00 999 1011.2   8.6   9.0 999.0 99.0 99.00
2008 03 13 10 50 235 11.6 14.2  2.56  7.14  5.74 208 1011.0   8.4   9.0 999.0 99.0 99.00
2008 03 13 11 50 244 11.8 14.3 99.00 99.00 99.00 999 1011.6   8.4   9.0 999.0 99.0 99.00
2008 03 13 12 50 243  9.9 12.2  2.63  7.14  5.90 210 1012.6   8.3   9.0 999.0 99.0 99.00
2008 03 13 13 50 234  7.9  9.4  2.63  7.69  6.08 235 1013.2   8.9   9.0 999.0 99.0 99.00
2008 03 13 14 50 224  8.9 10.8  2.31  8.33  5.92 255 1013.4   9.0   9.0 999.0 99.0 99.00
2008 03 13 15 50 205  8.0  9.8  2.22  8.33  6.03 258 1013.2   9.1   9.0 999.0 99.0 99.00
2008 03 13 16 50 210  7.4  8.6  2.22  6.67  6.18 226 1013.2   8.7   9.0 999.0 99.0 99.00
2008 03 13 17 50 190 10.4 12.5  2.19 19.05  6.02 268 1012.7   8.7   9.0 999.0 99.0 99.00
2008 03 13 18 50 226  8.7 10.3  2.31 19.05  6.35 275 1013.1   9.5   9.0 999.0 99.0 99.00
2008 03 13 19 50 224  8.2 10.2  2.18 19.05  5.92 258 1013.5   9.5   9.0 999.0 99.0 99.00
2008 03 13 20 50 219  8.9 10.3  2.54 19.05  6.66 269 1013.4   9.5   9.1 999.0 99.0 99.00
2008 03 13 21 50 224  7.8  9.0  2.39 19.05  6.14 257 1013.2   9.6   9.1 999.0 99.0 99.00
2008 03 13 22 50 212  8.2 10.3  2.59 17.39  6.40 269 1013.1   9.5   9.1 999.0 99.0 99.00
2008 03 13 23 50 207  8.5 10.5  2.54 17.39  6.51 262 1012.7   9.6   9.1 999.0 99.0 99.00
2008 03 14 00 50 197  8.6 11.6  2.28 17.39  6.14 244 1011.7   9.3   9.1 999.0 99.0 99.00
2008 03 14 01 50 204 10.1 13.1  2.57 17.39  6.35 248 1011.1   8.7   9.1 999.0 99.0 99.00
2008 03 14 02 50 218  9.2 11.1  2.41 17.39  6.25 278 1010.9   9.0   9.1 999.0 99.0 99.00
2008 03 14 03 50 206  9.8 11.5  2.90 17.39  6.72 280 1010.6   8.3   9.1 999.0 99.0 99.00
2008 03 14 04 50 198  9.9 11.5  2.69 17.39  6.34 248 1010.4   8.7   9.1 999.0 99.0 99.00
2008 03 14 05 50 204  9.4 11.7  2.60  6.25  6.05 218 1010.3   8.7   9.1 999.0 99.0 99.00
2008 03 14 06 50 206  9.8 11.4  3.04 16.00  7.03 255 1010.0   9.0   9.0 999.0 99.0 99.00
2008 03 14 07 50 209  8.5 10.6 99.00 99.00 99.00 999 1009.9   8.2   9.0 999.0 99.0 99.00
