YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
96 01 07 19 209  8.8 11.0  3.66  8.33  7.08 207 1015.7  13.0  12.1 999.0 99.0
96 01 07 20 204  8.1 10.4  3.47  8.33  6.98 200 1015.1  13.3  12.1 999.0 99.0
96 01 07 21 182 10.7 12.6  3.64  9.09  7.01 214 1014.2  13.3  12.1 999.0 99.0
96 01 07 22 197  8.6 10.4  3.15 10.00  6.92 230 1014.5  13.4  12.1 999.0 99.0
96 01 07 23 195  7.2  8.9  3.11 10.00  6.89 224 1014.3  13.3  12.1 999.0 99.0
96 01 08 00 198  4.1  5.4  3.01  8.33  6.97 204 1014.8  13.3  12.1 999.0 99.0
96 01 08 01 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 08 02 260  3.1  4.2  3.06 10.00  7.50 237 1015.6  12.9  12.1 999.0 99.0
96 01 08 03 243  4.2  5.2  2.97  9.09  7.22 220 1015.9  12.8  12.1 999.0 99.0
96 01 08 04 242  4.0  5.7  2.84 10.00  7.30 236 1016.5  12.6  12.0 999.0 99.0
96 01 08 05 211  4.2  5.9  3.05  9.09  7.51 206 1017.4  12.5  11.8 999.0 99.0
96 01 08 06 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 08 07 210  4.7  5.8  2.77 10.00  7.23 250 1018.0  12.5  11.8 999.0 99.0
96 01 08 08 231  5.2  7.2  2.95 10.00  7.55 252 1018.0  12.5  11.8 999.0 99.0
96 01 08 09 207  3.2  4.4  2.84 10.00  7.35 232 1017.9  12.8  11.8 999.0 99.0
96 01 08 10 211  4.5  5.8  2.91 10.00  7.56 245 1017.8  12.5  11.8 999.0 99.0
96 01 08 11 196  3.9  5.3  2.43 10.00  7.50 248 1018.3  12.5  12.0 999.0 99.0
96 01 08 12 209  4.0  5.8  2.67 11.11  8.03 250 1018.9  12.6  12.0 999.0 99.0
96 01 08 13 201  3.8  5.0  2.65 10.00  8.06 252 1018.8  12.1  12.1 999.0 99.0
96 01 08 14 195  5.1  7.0  2.66 10.00  8.25 257 1018.7  12.1  12.1 999.0 99.0
96 01 08 15 198  4.2  5.3  2.37 11.11  8.02 251 1018.9  12.1  12.1 999.0 99.0
96 01 08 16 176  3.2  4.3  2.45 10.00  8.21 260 1019.0  12.8  12.1 999.0 99.0
96 01 08 17 156  3.5  4.6  2.60 10.00  8.39 255 1019.3  13.3  12.1 999.0 99.0
96 01 08 18 156  3.6  4.5  2.54 10.00  8.59 257 1019.7  13.4  12.1 999.0 99.0
96 01 08 19 161  3.8  4.8  2.56 11.11  8.55 257 1019.9  13.4  12.1 999.0 99.0
96 01 08 20 145  5.2  6.7  2.57 10.00  8.71 257 1018.9  13.6  12.1 999.0 99.0
96 01 08 21 145  5.0  6.3  2.74 14.29  8.85 283 1018.6  12.9  12.1 999.0 99.0
